"ensaio";"variavel";"p_anova";"p_glm";"p_gee";"p_usado_no_grafico";"data_execucao"
"Tracao";"tensao_tracao";0.333439056273612;0.148062528483297;NA;0.148062528483297;2025-10-15 11:54:28.084344
"Tracao";"deformacao_ruptura";0.00544437541224812;2.06566659020848e-08;NA;2.06566659020848e-08;2025-10-15 11:54:28.084344
"Tracao";"modulo_young";0.355910047053337;0.167822900966222;NA;0.167822900966222;2025-10-15 11:54:28.084344
"Puncao";"forca_puncao";0.131187195239382;0.0718655837545616;NA;0.0718655837545616;2025-10-15 11:55:06.513987
"Puncao";"deslocamento_puncao";0.532129937733161;0.514037859260351;NA;0.514037859260351;2025-10-15 11:55:06.513987
"Tracao";"tensao_tracao";0.333439056273612;0.148062528483297;NA;0.148062528483297;2025-10-15 12:48:09.117383
"Tracao";"deformacao_ruptura";0.00544437541224812;2.06566659020848e-08;NA;2.06566659020848e-08;2025-10-15 12:48:09.117383
"Tracao";"modulo_young";0.355910047053337;0.167822900966222;NA;0.167822900966222;2025-10-15 12:48:09.117383
"Puncao";"forca_puncao";0.131187195239382;0.0718655837545616;NA;0.0718655837545616;2025-10-15 12:48:26.795182
"Puncao";"deslocamento_puncao";0.532129937733161;0.514037859260351;NA;0.514037859260351;2025-10-15 12:48:26.795182
"Tracao";"tensao_tracao";0.333439056273612;0.148062528483297;NA;0.148062528483297;2025-10-19 21:04:11.736926
"Tracao";"deformacao_ruptura";0.00544437541224812;2.06566659020848e-08;NA;2.06566659020848e-08;2025-10-19 21:04:11.736926
"Tracao";"modulo_young";0.355910047053337;0.167822900966222;NA;0.167822900966222;2025-10-19 21:04:11.736926
"Puncao";"forca_puncao";0.131187195239382;0.0718655837545616;NA;0.0718655837545616;2025-10-19 21:04:31.78863
"Puncao";"deslocamento_puncao";0.532129937733161;0.514037859260351;NA;0.514037859260351;2025-10-19 21:04:31.78863
